beer_name,brand,brewery,style,abv,calories,size,package_type,karnataka_price_min,karnataka_price_max,karnataka_price_observations_json,gtin,barcode,image_url,manufacturer_url,sources,confidence_score,last_verified_note
Tuborg Green Beer,Tuborg,Carlsberg India Pvt Ltd — KSBCL Supplier Code 0205,Lager,,,650ML x 12 Btls,"Bottle, case of 12",145.0,145.0,"[{""value"": ""Rs. 145.00 per bottle (item code 2050900400, price effective 14-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Bira 91 Blonde Summer Lager Beer,Bira 91,B9 Beverages Pvt Ltd — KSBCL Supplier Code 0214,Lager,,,650ML,Bottle,220.0,220.0,"[{""value"": ""Rs. 220.00 per bottle (item code 2140900600, price effective 03-Sep-2024)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Original Bira 91 Boom Super Strong Beer,Bira 91,B9 Beverages Pvt Ltd — KSBCL Supplier Code 0214,Super Strong Lager,,,650ML,Bottle,180.0,180.0,"[{""value"": ""Rs. 180.00 per bottle (item code 2140900300, price effective 03-Sep-2024)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
White Owl Boss Strong Premium Lager,White Owl,Woodpecker Distilleries and Breweries Pvt Ltd — KSBCL Supplier Code 0213,Strong Lager,,,650ML x 12 Btls,"Bottle, case of 12",150.01,150.01,"[{""value"": ""Rs. 150.01 per bottle (item code 2130901900, price effective 12-Jul-2021)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Woodpecker Natural Lager Glide Premium Mild Beer,Woodpecker,Woodpecker Distilleries and Breweries Pvt Ltd — KSBCL Supplier Code 0213,Mild Lager,,,650ML x 12 Btls,"Bottle, case of 12",200.0,200.0,"[{""value"": ""Rs. 200.00 per bottle (item code 2130903200, price effective 23-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Guinness Draught Beer (Can),Guinness,Imported/marketed via Brindco Enterprises Pvt Ltd - Bangalore — KSBCL Supplier Code 0972,Stout,,,440ML x 24 Cans,"Can, case of 24",570.0,570.0,"[{""value"": ""Rs. 570.00 per can (item code 9720900139, price effective 12-Apr-2024)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF. Guinness is an imported foreign liquor entry channeled through a licensed importer/supplier.
Kolt Extra Strong Beer,Kolt,Khoday Breweries Limited — KSBCL Supplier Code 0204,Strong Lager,,,650ML,Bottle,135.0,135.0,"[{""value"": ""Rs. 135.00 per bottle (item code 2040902500, price effective 11-Jun-2020)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
CARLSBERG MIRACLE CAN 500,Carlsberg,Carlsberg India,,,,500 ml,Can,185.0,185.0,"[{""value"": ""₹185.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3401/image_1920?unique=74947e0,https://www.madhuloka.com/shop/m000067-carlsberg-miracle-can-500-3401,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand and Size fields confirmed on-page. ABV/style not shown anywhere on site.
HOEGAARDEN ROSEE TIN,Hoegaarden,"Ab Inbev (listed as 'Brand' on site, likely importer not literal brewery)",,,,500 ml,Tin/Can,140.0,140.0,"[{""value"": ""₹140.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3728/image_1920?unique=de8803d,https://www.madhuloka.com/shop/m000061-hoegaarden-rosee-tin-3728,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed on-page.
KF PREMIUM BOTTLE,Kingfisher,United Breweries,,,,650 ml,Bottle,110.0,110.0,"[{""value"": ""₹110.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3842/image_1920?unique=2987702,https://www.madhuloka.com/shop/m000008-kf-premium-bottle-3842,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed on-page. 'Kingfisher' brand name inferred from 'KF' abbreviation (Medium confidence on that inference).
KF ULTRA MAX,Kingfisher,United Breweries,,,,650 ml,"Unknown (name suggests can/bottle, not stated)",245.0,245.0,"[{""value"": ""₹245.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3853/image_1920?unique=271a8d0,https://www.madhuloka.com/shop/m000021-kf-ultra-max-3853,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed on-page.
HAYWARDS 5000,Haywards 5000,Ab Inbev,,,,650 ml,Unknown,145.0,145.0,"[{""value"": ""₹145.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3256/image_1920?unique=4975a6e,https://www.madhuloka.com/shop/m000042-haywards-5000-3256,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size/Country confirmed on-page (Country: India).
SIMBA STOUT PINT,Simba,Sona Beverages,Stout (from product name),,,330 ml,"Pint (small bottle, ~330ml format used by this retailer)",165.0,165.0,"[{""value"": ""₹165.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4382/image_1920?unique=8cda054,https://www.madhuloka.com/shop/m000088-simba-stout-pint-4382,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed on-page.
HEINEKEN SILVER,Heineken,United Breweries,,,,330 ml,Unknown,120.0,120.0,"[{""value"": ""₹120.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3700/image_1920?unique=5c60714,https://www.madhuloka.com/shop/m001087-heineken-silver-3700,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,"Fetched product detail page directly (slug ends -3700); Brand/Size confirmed. Note: two other 'HEINEKEN SILVER' listings exist at different prices/sizes (likely different pack sizes), only this one's detail page was fetched."
HEINEKEN SILVER,Heineken,,,,,,Unknown,155.0,195.0,"[{""value"": ""₹195.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}, {""value"": ""₹155.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3699/image_512/%5BM001084%5D%20HEINEKEN%20SILVER?unique=0aa8dce,https://www.madhuloka.com/shop/m001084-heineken-silver-3699,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,"Seen only on category listing page (name, price, image); its own product detail page was not fetched, so Brand/Size not independently confirmed for this specific SKU (distinct product id 3699 vs the one above, id 3700)."
KNOCK OUT BOTTLE,Knock Out,Ab Inbev,,,,650 ml,Bottle,175.0,175.0,"[{""value"": ""₹175.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3874/image_1920?unique=13444b1,https://www.madhuloka.com/shop/m000045-knock-out-bottle-3874,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
KNOCK OUT TIN,Knock Out,,,,,,Tin/Can,105.0,135.0,"[{""value"": ""₹135.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}, {""value"": ""₹105.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000048-knock-out-tin-3877,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; image was a generic placeholder (not a real product photo) so image_url omitted; detail page not fetched.
GRIZLY PEACH AND BLACK TEA,Grizly,,,,,,Unknown,200.0,200.0,"[{""value"": ""₹200.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000005-grizly-peach-and-black-tea-3642,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; image was generic placeholder (omitted); detail page not fetched. Note: this may be a flavored malt beverage rather than a traditional beer style; retailer lists it in the Beer category.
SIMBA ROAR STRONG,Simba,Sona Beverages (inferred from other Simba SKUs on same site; not directly confirmed for this specific SKU),,,,,Unknown,135.0,170.0,"[{""value"": ""₹135.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}, {""value"": ""₹170.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4380/image_512/%5BM000056%5D%20SIMBA%20ROAR%20STRONG?unique=7b7bbbc,https://www.madhuloka.com/shop/m000056-simba-roar-strong-4380,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched for this SKU.
BUDWEISER MAGNUM BOTTLE,Budweiser,Ab Inbev,,,,650 ml,Bottle,250.0,250.0,"[{""value"": ""₹250.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3373/image_1920?unique=0d8aa17,https://www.madhuloka.com/shop/m000039-budweiser-magnum-bottle-3373,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
BUDWEISER MAGNUM TIN,Budweiser,,,,,,Tin/Can,155.0,200.0,"[{""value"": ""₹200.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}, {""value"": ""₹155.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3375/image_512/%5BM000041%5D%20BUDWEISER%20MAGNUM%20TIN?unique=7514996,https://www.madhuloka.com/shop/m000041-budweiser-magnum-tin-3375,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
BUDWEISER PREMIUM BOTTLE,Budweiser,,,,,,Bottle,205.0,205.0,"[{""value"": ""₹205.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3376/image_512/%5BM000035%5D%20BUDWEISER%20PREMIUM%20BOTTLE?unique=bc765ae,https://www.madhuloka.com/shop/m000035-budweiser-premium-bottle-3376,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
BUDWEISER PREMIUM PINT,Budweiser,,,,,,Pint (small bottle),120.0,120.0,"[{""value"": ""₹120.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3377/image_512/%5BM000036%5D%20BUDWEISER%20PREMIUM%20PINT?unique=167e7c7,https://www.madhuloka.com/shop/m000036-budweiser-premium-pint-3377,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
BUDWEISER PREMIUM TIN,Budweiser,,,,,,Tin/Can,160.0,160.0,"[{""value"": ""₹160.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3378/image_512/%5BM000037%5D%20BUDWEISER%20PREMIUM%20TIN?unique=7570e0c,https://www.madhuloka.com/shop/m000037-budweiser-premium-tin-3378,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
GRIZLY PINEAPPLE AND OKINAWA,Grizly,,,,,,Unknown,210.0,210.0,"[{""value"": ""₹210.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000087-grizly-pineapple-and-okinawa-3643,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,"Seen only on category listing page; generic placeholder image (omitted); detail page not fetched. Likely a flavored malt beverage, not a traditional beer style."
KF PREMIUM PINT,Kingfisher,,,,,,Pint (small bottle),60.0,60.0,"[{""value"": ""₹60.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3843/image_512/%5BM000009%5D%20KF%20PREMIUM%20PINT?unique=e98b35d,https://www.madhuloka.com/shop/m000009-kf-premium-pint-3843,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF PREMIUM TIN,Kingfisher,,,,,,Tin/Can,60.0,80.0,"[{""value"": ""₹80.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}, {""value"": ""₹60.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3844/image_512/%5BM000010%5D%20KF%20PREMIUM%20TIN?unique=253f424,https://www.madhuloka.com/shop/m000010-kf-premium-tin-3844,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
CARLSBERG STRONG BOTTLE,Carlsberg,Carlsberg India,,,,650 ml,Bottle,240.0,240.0,"[{""value"": ""₹240.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3402/image_1920?unique=0c09795,https://www.madhuloka.com/shop/m000063-carlsberg-strong-bottle-3402,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
TUBORG GREEN BOTTLE,Tuborg,Carlsberg India,,,,650 ml,Bottle,145.0,145.0,"[{""value"": ""₹145.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4579/image_1920?unique=90151ce,https://www.madhuloka.com/shop/m000068-tuborg-green-bottle-4579,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,"Fetched product detail page directly; Brand/Size confirmed (Tuborg is owned by Carlsberg, consistent with site's Brand field)."
UB PREMIUM BOTTLE,UB Export / United Breweries,United Breweries,,,,650 ml,Bottle,135.0,135.0,"[{""value"": ""₹135.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4594/image_1920?unique=458fdde,https://www.madhuloka.com/shop/m000031-ub-premium-bottle-4594,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
